show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,month_added,year_added
s1,movie,The Grand Seduction,Don McKellar,"Brendan Gleeson, Taylor Kitsch, Gordon Pinsent",canada,2021-03-30,2014,desconocido,113 min,"comedy, drama","A small fishing village must procure a local doctor to secure a lucrative business contract. When unlikely candidate and big city doctor Paul Lewis lands in their lap for a trial residence, the townsfolk rally together to charm him into staying. As the doctor's time in the village winds to a close, acting mayor Murray French has no choice but to pull out all the stops.",3,2021
s2,movie,Take Care Good Night,Girish Joshi,"Mahesh Manjrekar, Abhay Mahajan, Sachin Khedekar",india,2021-03-30,2018,13+,110 min,"drama, international",A Metro Family decides to fight a Cyber Criminal threatening their stability and pride.,3,2021
s3,movie,Secrets of Deception,Josh Webber,"Tom Sizemore, Lorenzo Lamas, Robert LaSardo, Richard Jones, Yancey Arias, Noel Gugliemi",united states,2021-03-30,2017,desconocido,74 min,"action, drama, suspense",After a man discovers his wife is cheating on him with a neighborhood kid he goes down a furious path of self-destruction,3,2021
s4,movie,Pink: Staying True,Sonia Anderson,"Interviews with: Pink, Adele, Beyoncé, Britney Spears, Christina Aguilera, more!",united states,2021-03-30,2014,desconocido,69 min,documentary,"Pink breaks the mold once again, bringing her career to a new level in 2013 with a world tour that entertains unlike ever before! Get inside access to ""the girl who got the party started"" with exclusive interviews and rare live performances.",3,2021
s5,movie,Monster Maker,Giles Foster,"Harry Dean Stanton, Kieran O'Brien, George Costigan, Amanda Dickinson, Alison Steadman, Grant Bardsley, Bill Moody, Matthew Scurfield",united kingdom,2021-03-30,1989,desconocido,45 min,"drama, fantasy","Teenage Matt Banting wants to work with a famous but eccentric creature/special effects man named Chancey Bellows. He gets more than he bargained for when one of the creatures, the giant dragon-like Ultragorgon, takes Matt under his wing. Matt is forced to confront his inner monsters while working out his issues with his father.",3,2021
s6,movie,Living With Dinosaurs,Paul Weiland,"Gregory Chisholm, Juliet Stevenson, Brian Henson, Michael Maloney",united kingdom,2021-03-30,1989,desconocido,52 min,"fantasy, kids","The story unfolds in a an English seaside town, where Dom, an only child, faces the imminent arrival of a new sibling, and subsequently diminished attention from his mother. A stuffed toy dinosaur named Dog is Dom's only confidant – Dom relies on his friend heavily for support as he confronts his problems, accepts the changes in his life, and understands the love he has for his parents.",3,2021
s7,movie,Hired Gun,Fran Strine,"Alice Cooper, Liberty DeVitto, Ray Parker Jr., David Foster, Jason Hook, Steve Vai, Phil X, Rudy Sarzo, Jay Graydon, Rob Zombie, Kenny Aronoff, Steve Lukather, Justin Derrico, Eva Gardner, John 5, Eric Singer, Derek St. Holmes, Paul Bushnell, Jason Newsted, Glen Sobel, Nita Strauss, Chris Johnson",united states,2021-03-30,2017,desconocido,98 min,"documentary, special interest","They are the ""First Call, A-list"" musicians, just 20 feet from stardom, yet rarely receive credit for their work. The 'hired gun' community lives and breathes music, and for the first time, share their incredible stories detailing the highs and lows of touring life, the demands of session schedules, and the dedication required to play next to some of the world's most iconic musicians.",3,2021
s8,movie,Grease Live!,"Thomas Kail, Alex Rudzinski","Julianne Hough, Aaron Tveit, Vanessa Hudgens, Keke Palmer, Carly Rae Jepson, Mario Lopez, Carlos PenaVega, Kether Donohue, Jordan Fisher, David Del Rio, Andrew Call, Wendell Pierce, Boyz II Men, Jessie J, Ana Gasteyer, Didi Conn",united states,2021-03-30,2016,desconocido,131 min,comedy,"This honest, uncompromising comedy chronicles the war stories and sexual misadventures of a tight circle of lovers and friends fighting to get their acts together, for better or worse.",3,2021
s9,movie,Global Meltdown,Daniel Gilboy,"Michael Paré, Leanne Khol Young, Patrick J. MacEachern",canada,2021-03-30,2017,desconocido,87 min,"action, science fiction, suspense",A helicopter pilot and an environmental scientist lead a exodus of survivors in a search for a safe haven after a catastrophic tectonic event causes the crust of the earth to break apart.,3,2021
s10,movie,David's Mother,Robert Allan Ackerman,"Kirstie Alley, Sam Waterston, Stockard Channing",united states,2021-04-01,1994,desconocido,92 min,drama,"Sally Goodson is a devoted mother to her autistic son David. Abandoned by her husband, Sally has managed to keep her son out of ""the System"", until a social worker comes along.",4,2021
